,2018-05-13,2018-05-06,2018-04-29,2018-04-22,2018-04-15,2018-04-08,2018-04-01,2018-03-25,2018-03-18,2018-03-11,2018-03-04,2018-02-25,2018-02-18,2018-02-11,2018-02-04,2018-01-28,2018-01-21,2018-01-14,2018-01-07,2017-12-31,2017-12-24,2017-12-17,2017-12-10,2017-12-03,2017-11-26,2017-11-19
drgt,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,13.0,13.0,13.0,13.0,14.0,14.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
disformal,14.0,14.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,17.0,17.0,20.0,20.0,20.0,20.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
selfcontained,6.0,7.0,7.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
glsms,4.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
seiberg,6.0,7.0,6.0,8.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
qballs,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
characterise,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0
schemeindependent,4.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0
hov,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,7.0,8.0,8.0,8.0,9.0,6.0,7.0,5.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0
tolman,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0
adhm,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,8.0,8.0
gibbonshawking,9.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,8.0,9.0,11.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0
kalbramond,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0
nearextremal,10.0,10.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0
